Symbol,Name,Common Shares Outstdg,Shr Out less Closely Held Sh,Shr Out less Closely Held Sh
AX,"Axos Financial, Inc.",56.9,54.4,95.6
AXSM,"Axsome Therapeutics, Inc.",51.5,43.2,83.7
AZTA,"Azenta, Inc.",46.1,45.6,97.9
AZZ,AZZ Inc.,29.9,29.3,98.4
BGS,"B&G Foods, Inc.",80.4,76.2,96.2
BLZE,"Backblaze, Inc. Class A",60.0,56.6,94.6
BMI,"Badger Meter, Inc.",29.2,29.0,99.5
BKKT,"Bakkt, Inc. Class A",44.6,30.2,62.4
BCPC,Balchem Corp,32.1,31.9,99.5
BWIN,"Baldwin Insurance Group, Inc. Class A",97.5,95.3,99.3
BALY,Bally's Corporation,48.7,9.9,21.2
BANC,"Banc of California, Inc.",154.2,149.1,85.9
BANF,BancFirst Corporation,33.6,21.3,62.0
BLX,"Banco Latinoamericano de Comercio Exterior, S.A. Class E",35.9,27.7,77.9
TBBK,Bancorp Inc,41.6,39.1,94.1
BAND,Bandwidth Inc. Class A,32.0,29.4,91.3
BFC,Bank First Corp,11.2,10.1,90.7
BOH,Bank of Hawaii Corp,39.6,39.1,98.2
BMRC,Bank of Marin Bancorp,16.2,15.3,90.2
NTB,Bank of N.T. Butterfield & Son Limited (The),39.9,39.1,98.7
BSVN,Bank7 Corp.,9.5,4.1,42.9
BKU,"BankUnited, Inc.",72.7,72.0,99.1
BWFG,"Bankwell Financial Group, Inc.",8.0,5.8,73.8
BANR,Banner Corporation,34.0,33.0,97.5
BHB,"Bar Harbor Bankshares, Inc.",16.7,16.2,97.2
BARK,"BARK, Inc. Class A",8.6,4.8,64.9
BNED,"Barnes & Noble Education, Inc.",34.3,12.6,34.5
BBSI,"Barrett Business Services, Inc.",24.6,23.6,96.5
BSET,"Bassett Furniture Industries, Inc.",8.6,7.2,83.6
BCML,BayCom Corp.,10.9,10.4,94.0
BCBP,"BCB Bancorp, Inc.",17.4,15.7,89.2
BBT,Beacon Financial Corporation,83.8,82.7,98.6
BEAM,"Beam Therapeutics, Inc.",102.9,93.7,91.2
BZH,"Beazer Homes USA, Inc.",27.3,24.3,91.1
BBBY,"Bed Bath & Beyond, Inc.",73.9,72.6,98.8
BELFA,Bel Fuse Inc. Class A,12.6,1.6,13.1
BELFB,Bel Fuse Inc. Class B,12.6,10.4,83.1
BDC,Belden Inc.,38.9,38.3,98.6
BHE,"Benchmark Electronics, Inc.",35.9,34.7,96.7
BNTC,Benitec Biopharma Inc,34.4,32.7,93.5
BBNX,"Beta Bionics, Inc.",44.6,34.0,77.3
BETA,"BETA Technologies, Inc. Class A",229.8,112.9,48.1
BETR,Better Home & Finance Holding Company Class A,18.9,7.4,42.0
BYND,"Beyond Meat, Inc.",515.3,496.8,97.0
BGC,"BGC Group, Inc. Class A",479.9,364.9,76.0
BCAX,Bicara Therapeutics Inc.,65.7,41.4,58.0
BBAI,"BigBear.ai Holdings, Inc.",478.9,473.7,98.9
BH,"Biglari Holdings, Inc. Class B",3.1,2.1,66.4
BIOA,"BioAge Labs, Inc.",44.5,33.0,62.4
BCRX,"BioCryst Pharmaceuticals, Inc.",254.2,229.4,88.7
BHVN,Biohaven Ltd.,150.6,125.4,81.1
BLFS,"BioLife Solutions, Inc.",48.9,46.7,96.4
BTMD,biote Corp. Class A,30.3,27.7,90.9
BVS,"Bioventus, Inc. Class A",67.7,46.7,68.8
BTBT,"Bit Digital, Inc.",326.6,320.4,98.5
BTDR,Bitdeer Technologies Group Class A,241.1,128.5,52.1
BJRI,"BJ's Restaurants, Inc.",21.0,18.6,90.7
BKTI,BK Technologies Corp.,3.8,2.6,76.2
BKV,BKV Corporation,109.4,26.0,23.9
BKH,Black Hills Corporation,76.1,75.7,99.5
BRCB,"Black Rock Coffee Bar, Inc. Class A",17.5,16.8,96.2
BLKB,"Blackbaud, Inc.",45.9,35.1,77.6
BL,"BlackLine, Inc.",58.7,47.2,81.0
BKSY,BlackSky Technology Inc Class A,37.1,30.8,82.4
BXMT,"Blackstone Mortgage Trust, Inc. Class A",168.7,157.3,93.2
BZAI,"Blaize Holdings, Inc.",122.8,83.9,67.7
BLND,"Blend Labs, Inc. Class A",257.1,177.4,69.5
BE,Bloom Energy Corporation Class A,284.4,266.0,92.4
BLMN,"Bloomin' Brands, Inc.",85.6,84.5,97.6
BLBD,Blue Bird Corporation,31.6,31.2,98.4
BRBS,"Blue Ridge Bankshares, Inc.",89.9,61.6,69.1
BXC,BlueLinx Holdings Inc.,7.8,7.5,96.3
BCC,Boise Cascade Co.,35.2,34.3,98.5
BOOT,"Boot Barn Holdings, Inc.",30.4,30.2,99.3
BPK3P6,Borr Drilling Limited,307.7,270.6,85.1
BOC,Boston Omaha Corp. Class A,30.5,29.3,95.7
BOW,Bowhead Specialty Holdings Inc.,32.8,21.8,66.8
BWMN,"Bowman Consulting Group, Ltd.",17.5,14.1,80.9
BOX,"Box, Inc. Class A",138.5,133.0,96.3
BHR,"Braemar Hotels & Resorts, Inc.",68.7,52.2,76.1
BDN,Brandywine Realty Trust,173.7,165.5,96.5
BRZE,"Braze, Inc. Class A",113.4,84.7,73.2
BRCC,BRC Inc Class A,117.0,106.1,91.7
BFH,"Bread Financial Holdings, Inc.",40.4,39.7,97.3
BBIO,"BridgeBio Pharma, Inc.",195.9,168.5,85.6
BWB,"Bridgewater Bancshares, Inc.",27.9,20.8,74.8
DRUG,Bright Minds Biosciences Inc.,9.8,7.9,#N/A
BRSP,BrightSpire Capital Inc,130.3,126.6,97.5
BTSG,"BrightSpring Health Services, Inc.",193.9,149.0,63.4
BRSL,Brightstar Lottery PLC,189.4,100.4,53.3
BV,"BrightView Holdings, Inc.",93.2,68.2,75.1
BCO,Brink's Company,41.2,40.6,98.9
EAT,"Brinker International, Inc.",42.9,42.3,98.4
VTOL,Bristow Group Inc,29.6,28.7,97.0
BNL,"Broadstone Net Lease, Inc.",191.8,189.6,99.0
BKD,Brookdale Senior Living Inc.,238.8,215.5,90.2
*BBUC,Brookfield Business Corporation Class A,207.0,62.3,33.3
*BIPC,Brookfield Infrastructure Corporation Class A,133.0,119.9,90.1
BRT,BRT Apartments Corp,18.8,10.3,53.8
BKE,"Buckle, Inc.",51.5,31.6,61.5
BBW,"Build-A-Bear Workshop, Inc.",12.6,11.9,94.3
BMBL,"Bumble, Inc. Class A",130.4,89.2,58.5
BMGYLN,Burford Capital Limited,219.1,198.1,#N/A
BHRB,Burke Herbert Financial Services Corp,20.1,16.1,88.4
BFST,"Business First Bancshares, Inc.",32.7,30.7,94.3
BFLY,"Butterfly Network, Inc. Class A",261.3,199.8,76.4
BVFL,"BV Financial, Inc.",8.8,6.5,77.1
BY,"Byline Bancorp, Inc.",45.4,32.4,71.6
BYRN,Byrna Technologies Inc.,22.7,17.8,77.5
CFFI,C&F Financial Corporation,3.3,3.0,93.2
AI,"C3.ai, Inc. Class A",145.3,133.1,89.4
CABO,"Cable One, Inc.",5.7,4.7,81.6
CBT,Cabot Corporation,51.6,50.7,98.6
WHD,"Cactus, Inc. Class A",69.4,68.5,98.9
CDZI,Cadiz Inc.,83.7,55.6,66.6
CDRE,"Cadre Holdings, Inc.",42.8,30.5,69.3
CALM,"Cal-Maine Foods, Inc.",47.4,42.6,80.0
CVGW,"Calavo Growers, Inc.",17.9,16.6,93.3
CMCL,Caledonia Mining Corporation PLC,19.3,14.5,75.9
CAL,"Caleres, Inc.",33.7,32.4,95.9
BCAL,California BanCorp,32.2,25.4,74.9
CRC,California Resources Corp,88.8,81.1,87.0
CWT,California Water Service Group,59.9,59.4,99.3
CALX,"Calix, Inc.",63.8,57.9,90.8
CALY,Callaway Golf Company,179.8,147.1,70.5
CLMT,"Calumet, Inc.",87.1,67.8,77.9
CAC,Camden National Corporation,16.9,16.5,97.8
CWH,"Camping World Holdings, Inc. Class A",63.5,59.6,93.7
CADL,"Candel Therapeutics, Inc.",73.2,58.9,74.8
CNNE,"Cannae Holdings, Inc.",43.9,36.9,85.5
CBNK,"Capital Bancorp, Inc.",16.3,10.9,67.3
CCBG,"Capital City Bank Group, Inc.",17.1,13.7,80.3
CFFN,"Capitol Federal Financial, Inc.",126.8,116.7,92.2
CPRI,Capri Holdings Limited,119.2,116.0,97.5
CAPR,"Capricor Therapeutics, Inc.",57.8,52.3,89.8
CV,"CapsoVision, Inc.",49.8,27.5,61.1
CRDF,"Cardiff Oncology, Inc.",68.4,62.4,91.1
CDNL,"Cardinal Infrastructure Group, Inc.",15.3,13.6,89.1
