Symbol,Name,Common Shares Outstdg,Shr Out less Closely Held Sh,Shr Out less Closely Held Sh
NTLA,"Intellia Therapeutics, Inc.",139.7,132.3,95.1
IDCC,"InterDigital, Inc.",25.8,25.3,98.0
TILE,"Interface, Inc.",58.1,56.5,97.5
IBOC,International Bancshares Corporation,62.2,56.2,90.3
IMXI,"International Money Express, Inc.",30.1,27.7,93.1
INSW,"International Seaways, Inc.",49.5,40.9,98.4
IPAR,"Interparfums, Inc.",32.0,18.1,56.4
IPI,"Intrepid Potash, Inc.",13.4,10.8,80.8
LUNR,"Intuitive Machines, Inc. Class A",160.0,117.1,93.3
IVT,InvenTrust Properties Corp,77.9,77.2,99.3
IVR,Invesco Mortgage Capital Inc.,92.8,92.6,99.6
ISTR,Investar Holding Corp,13.8,12.1,89.0
ITIC,Investors Title Company,1.9,1.4,72.4
IONQ,"IonQ, Inc.",373.3,364.0,97.4
IOVA,Iovance Biotherapeutics Inc,446.5,383.0,85.3
IRMD,IRadimed Corp.,12.8,8.3,63.9
IRTC,"iRhythm Holdings, Inc.",32.9,32.2,98.4
IRWD,"Ironwood Pharmaceuticals, Inc. Class A",164.6,157.9,96.4
ISPR,"Ispire Technology, Inc.",57.4,19.5,33.3
ITRI,"Itron, Inc.",44.3,43.6,98.7
IE,Ivanhoe Electric Inc.,158.3,122.3,75.8
JJSF,J & J Snack Foods Corp.,18.8,14.6,78.6
JILL,"J.Jill, Inc.",14.9,6.6,44.6
JACK,Jack in the Box Inc.,19.0,16.9,90.3
JXN,Jackson Financial Incorporation Class A,69.7,68.1,97.3
JBIO,"Jade Biosciences, Inc.",49.4,41.4,82.6
JAKK,"JAKKS Pacific, Inc.",11.4,9.1,79.7
JRVR,"James River Group Holdings, Inc.",46.2,36.0,79.6
JBI,"Janus International Group, Inc.",136.4,129.0,95.4
JANX,"Janux Therapeutics, Inc.",61.0,55.7,87.0
JBGS,JBG SMITH Properties,58.3,57.9,99.5
JBTM,JBT Marel Corporation,52.1,51.2,98.4
JCAP,"Jefferson Capital, Inc.",61.7,24.8,23.2
JELD,"JELD-WEN Holding, Inc.",86.2,84.8,97.6
JBLU,JetBlue Airways Corporation,372.0,298.7,80.8
JOBY,"Joby Aviation, Inc.",983.6,628.5,61.1
JBSS,"John B. Sanfilippo & Son, Inc.",11.7,8.8,65.3
JMSB,"John Marshall Bancorp, Inc.",14.1,12.3,87.0
WLY,"John Wiley & Sons, Inc. Class A",51.3,39.7,77.8
JOUT,Johnson Outdoors Inc. Class A,10.3,8.2,81.5
JYNT,Joint Corp.,14.3,12.1,85.6
DERM,Journey Medical Corp.,27.3,13.4,49.1
KAI,Kadant Inc.,11.8,11.7,98.9
KALU,Kaiser Aluminum Corporation,16.3,15.9,97.5
KLTR,"Kaltura, Inc.",150.4,73.6,52.5
KALV,"KalVista Pharmaceuticals, Inc.",51.3,37.9,73.6
KRT,"Karat Packaging, Inc.",20.0,8.5,43.2
KBH,KB Home,62.6,59.8,95.5
KRNY,Kearny Financial Corp.,64.7,57.5,87.7
KELYA,"Kelly Services, Inc. Class A",34.2,29.1,85.2
KMT,Kennametal Inc.,76.2,74.2,98.2
KW,"Kennedy-Wilson Holdings, Inc.",139.3,120.5,86.8
KROS,"Keros Therapeutics, Inc.",19.8,18.1,95.0
KMTS,Kestra Medical Technologies Ltd.,58.4,23.9,32.9
KG,Kestrel Group Ltd,7.8,4.6,95.2
KFRC,Kforce Inc.,17.8,16.5,92.7
KE,"Kimball Electronics, Inc.",24.0,23.6,98.7
KLC,KinderCare Learning Companies Inc,118.4,30.5,26.7
KNTK,Kinetik Holdings Inc. Class A,68.8,45.9,67.2
KINS,Kingstone Companies Incorporated,14.5,11.1,77.0
KFS,Kingsway Financial Services Inc,28.9,21.0,72.6
KRG,Kite Realty Group Trust,203.1,199.9,98.5
KREF,"KKR Real Estate Finance Trust, Inc.",64.7,52.4,81.6
KNF,Knife River Corporation,56.8,56.5,99.5
KN,Knowles Corp.,85.6,83.6,97.4
KGS,"Kodiak Gas Services, Inc.",88.8,87.9,99.2
KOD,"Kodiak Sciences, Inc.",62.6,57.9,92.9
KSS,Kohl's Corporation,112.3,107.0,96.2
*KEI,Kolibri Global Energy Inc,35.5,30.7,#N/A
KTB,"Kontoor Brands, Inc.",55.3,54.2,98.4
KOPN,Kopin Corporation,182.9,169.9,92.9
KOP,Koppers Holdings Inc.,19.2,18.1,94.9
KFY,Korn Ferry,51.9,51.2,98.6
KRRO,"Korro Bio, Inc.",14.4,8.8,56.9
KRMD,"KORU Medical Systems, Inc.",45.9,42.4,94.3
KOS,Kosmos Energy Ltd.,593.2,569.9,96.0
KTOS,"Kratos Defense & Security Solutions, Inc.",187.5,184.2,98.0
DNUT,"Krispy Kreme, Inc.",172.4,90.5,52.0
KRO,"Kronos Worldwide, Inc.",115.1,21.5,18.7
KRYS,"Krystal Biotech, Inc.",29.5,25.6,86.7
KLIC,"Kulicke & Soffa Industries, Inc.",52.3,50.5,96.6
KULR,KULR Technology Group Inc,46.3,42.6,93.8
KURA,"Kura Oncology, Inc.",88.8,86.5,97.1
KRUS,"Kura Sushi USA, Inc. Class A",12.1,7.3,52.4
KYMR,"Kymera Therapeutics, Inc.",82.3,70.9,85.6
FSTR,L. B. Foster Company,10.5,9.6,91.7
LZB,La-Z-Boy Incorporated,40.9,40.1,98.7
LADR,Ladder Capital Corp. Class A,127.7,111.5,88.1
LKFN,Lakeland Financial Corporation,24.9,24.0,96.8
LAKE,"Lakeland Industries, Inc.",9.8,8.4,85.8
LARK,"Landmark Bancorp, Inc.",6.1,4.9,80.5
LE,"Lands' End, Inc.",30.8,9.6,28.1
LNTH,Lantheus Holdings Inc,65.1,62.8,96.4
LRMR,"Larimar Therapeutics, Inc.",104.1,50.2,54.4
SWIM,Latham Group Inc,117.4,49.8,42.3
LAUR,"Laureate Education, Inc.",140.0,129.7,84.7
LBRX,"LB Pharmaceuticals, Inc.",28.7,21.3,74.3
LCII,LCI Industries,24.3,23.3,95.8
LCNB,LCNB Corp.,14.2,13.3,93.2
LEGH,Legacy Housing Corporation,23.8,8.7,36.7
LZ,"LegalZoom.com, Inc.",171.6,112.5,67.2
LGN,Legence Corp. Class A,108.0,46.6,32.1
LEG,"Leggett & Platt, Incorporated",136.4,132.9,97.5
LMAT,"LeMaitre Vascular, Inc.",22.9,21.2,91.8
LMND,Lemonade Inc,76.8,66.7,89.6
LC,LendingClub Corp,115.4,111.5,97.0
TREE,"LendingTree, Inc.",14.0,11.3,81.4
LNSR,LENSAR Inc,12.1,9.5,81.2
LENZ,"LENZ Therapeutics, Inc.",31.4,27.7,88.5
LXEO,"Lexeo Therapeutics, Inc.",78.5,62.7,84.4
LGIH,"LGI Homes, Inc.",23.2,20.3,87.2
LBRT,"Liberty Energy, Inc. Class A",163.2,159.7,96.3
LILA,Liberty Latin America Ltd. Class A,200.1,33.8,16.4
LILAK,Liberty Latin America Ltd. Class C,200.1,127.1,64.4
LTH,"Life Time Group Holdings, Inc.",222.6,157.6,69.0
LIF,"Life360, Inc.",81.0,78.2,96.7
LFCR,"Lifecore Biomedical, Inc.",37.5,34.4,91.5
LFMD,"LifeMD, Inc.",48.4,39.9,81.9
LFST,"Lifestance Health Group, Inc.",387.8,183.4,41.2
LFVN,LifeVantage Corporation,12.6,10.5,80.3
LWAY,"Lifeway Foods, Inc.",15.1,5.6,36.4
LZM,Lifezone Metals Limited,89.9,38.2,38.4
LGND,Ligand Pharmaceuticals Incorporated,20.0,19.5,97.6
LTBR,Lightbridge Corporation,35.1,33.1,94.0
LMB,"Limbach Holdings, Inc.",11.9,10.7,90.2
LMNR,Limoneira Company,18.1,16.3,91.1
LINC,Lincoln Educational Services Corporation,31.7,29.4,92.5
LIND,"Lindblad Expeditions Holdings, Inc.",65.6,48.9,68.4
LNN,Lindsay Corporation,10.4,10.3,99.0
LION,Lionsgate Studios Corp.,290.2,197.1,12.2
LQDA,Liquidia Corporation,88.9,70.2,81.6
LQDT,"Liquidity Services, Inc.",31.2,23.5,75.9
LIVN,LivaNova Plc,54.9,54.7,99.7
LOB,"Live Oak Bancshares, Inc.",46.3,35.9,76.8
RAMP,"LiveRamp Holdings, Inc.",63.1,60.9,97.0
LVWR,"LiveWire Group, Inc.",204.8,12.0,5.0
LDI,"loanDepot, Inc. Class A",126.4,59.8,2.6
LOVE,Lovesac Company,14.6,13.0,89.6
LXU,"LSB Industries, Inc.",71.9,54.4,69.3
LYTS,LSI Industries Inc.,36.7,34.9,87.4
LTC,"LTC Properties, Inc.",51.2,50.0,97.9
LUCD,Lucid Diagnostics Inc.,177.3,133.8,70.4
LUMN,"Lumen Technologies, Inc.","1,030.3",946.2,91.9
LFT,"Lument Finance Trust, Inc.",52.4,33.0,63.0
LMRI,"Lumexa Imaging Holdings, Inc.",96.1,25.3,25.2
LXFR,Luxfer Holdings PLC,27.0,26.5,98.6
LXP,LXP Industrial Trust,59.0,57.2,97.3
MPTI,M-tron Industries Inc,3.6,3.3,91.0
MHO,"M/I Homes, Inc.",25.6,24.8,97.6
MAC,Macerich Company,261.4,259.8,99.4
MSGE,Madison Square Garden Entertainment Corp.,47.3,38.6,82.0
MDGL,"Madrigal Pharmaceuticals, Inc.",23.1,20.9,91.0
MAGN,Magnera Corporation,35.8,35.4,96.8
MGNI,"Magnite, Inc.",143.2,139.3,97.8
MGY,Magnolia Oil & Gas Corp. Class A,184.9,181.0,94.6
MNSB,"MainStreet Bancshares, Inc.",7.1,5.6,80.0
MBUU,"Malibu Boats, Inc. Class A",18.6,18.1,95.4
MAMA,"Mama's Creations, Inc.",40.7,36.3,89.6
TUSK,"Mammoth Energy Services, Inc.",48.2,46.9,97.3
MTW,"Manitowoc Company, Inc.",35.9,32.8,91.6
MNKD,MannKind Corporation,309.0,296.1,95.8
MPLT,"MapLight Therapeutics, Inc.",42.4,7.9,31.5
MARA,"MARA Holdings, Inc.",381.3,372.3,98.3
MRVI,"Maravai Lifesciences Holdings, Inc. Class A",146.4,104.6,71.1
MMI,"Marcus & Millichap, Inc.",37.8,22.4,60.1
MCS,Marcus Corporation,30.0,22.0,73.5
MRX,Marex Group plc,71.9,59.8,74.8
MPX,Marine Products Corporation,34.2,10.7,25.0
HZO,"MarineMax, Inc.",22.0,19.5,88.8
MKTW,"MarketWise, Inc. Class A",2.6,1.8,68.8
MQ,"Marqeta, Inc. Class A",424.0,344.7,82.0
VAC,Marriott Vacations Worldwide Corporation,34.3,31.3,91.8
MRTN,"Marten Transport, Ltd.",81.6,57.6,70.6
MZTI,Marzetti Company,27.4,19.1,69.9
MBC,MasterBrand Inc,128.0,124.7,98.8
MCFT,"Mastercraft Boat Holdings, Inc.",16.3,15.8,96.1
MTRN,Materion Corporation,20.8,20.4,98.2
MATV,"Mativ Holdings, Inc.",55.1,53.9,98.3
MTRX,Matrix Service Company,28.1,26.3,93.9
MATX,"Matson, Inc.",30.3,29.5,97.7
MATW,Matthews International Corporation Class A,31.2,28.7,95.1
MLP,"Maui Land & Pineapple Company, Inc.",19.9,6.5,35.8
MXCT,"MaxCyte, Inc.",106.9,98.9,92.5
MMS,"MAXIMUS, Inc.",52.5,51.6,98.7
MXL,"MaxLinear, Inc.",89.5,84.2,93.2
MEC,"Mayville Engineering Company, Inc.",20.5,14.4,71.3
MAZE,"Maze Therapeutics, Inc.",55.3,33.7,55.2
MBI,MBIA Inc.,50.9,45.1,89.5
MBX,"MBX Biosciences, Inc.",47.6,29.5,59.1
MGRC,McGrath RentCorp,24.6,24.2,98.7
MH,"McGraw Hill, Inc.",191.0,24.9,#N/A
MCHB,Mechanics Bancorp. Class A,231.4,35.4,15.3
MFIN,Medallion Financial Corp.,23.9,14.3,61.6
MAX,"MediaAlpha, Inc. Class A",54.1,28.6,55.1
MED,"Medifast, Inc.",11.1,10.5,96.7
MDWD,MediWound Ltd.,12.8,9.6,68.8
MGTX,MeiraGTx Holdings Plc,92.6,66.6,72.4
MBWM,Mercantile Bank Corporation,17.3,16.6,95.9
MBIN,Merchants Bancorp,45.9,21.1,45.1
MCY,Mercury General Corporation,55.4,26.5,48.0
MRCY,"Mercury Systems, Inc.",60.0,59.0,98.3
MRBK,Meridian Corporation,11.9,9.1,77.4
MRDN,Meridian Holdings Inc.,12.6,2.1,9.8
MMSI,"Merit Medical Systems, Inc.",59.7,58.2,97.6
MTH,Meritage Homes Corporation,66.7,64.6,97.5
MLAB,"Mesa Laboratories, Inc.",5.5,5.3,97.4
MTUS,Metallus Inc.,41.6,35.3,85.1
MEI,"Methode Electronics, Inc.",35.4,34.0,92.7
MCBS,"MetroCity Bankshares, Inc.",28.7,22.2,77.7
MCB,Metropolitan Bank Holding Corp.,12.5,10.9,85.7
MFA,"MFA Financial, Inc.",101.6,99.5,99.1
MGEE,"MGE Energy, Inc.",36.8,36.6,99.7
MGPI,"MGP Ingredients, Inc.",21.4,14.4,67.6
MIAX,"Miami International Holdings, Inc.",94.9,85.7,89.6
MVST,"Microvast Holdings, Inc.",333.2,207.8,62.2
MVIS,"MicroVision, Inc.",327.0,322.2,98.7
MPB,"Mid Penn Bancorp, Inc.",25.3,20.8,81.8
MSEX,Middlesex Water Company,18.6,17.6,94.6
MSBI,"Midland States Bancorp, Inc.",20.7,18.9,93.3
MLR,"Miller Industries, Inc.",11.4,10.8,95.6
MLKN,"MillerKnoll, Inc.",68.4,67.1,98.7
MDXG,"MiMedx Group, Inc.",148.9,116.3,78.8
MTX,Minerals Technologies Inc.,31.0,30.6,98.7
MLYS,"Mineralys Therapeutics, Inc.",82.5,61.4,74.5
MIR,"Mirion Technologies, Inc. Class A",250.5,236.0,94.3
MIRM,"Mirum Pharmaceuticals, Inc.",61.0,50.6,82.0
AVO,"Mission Produce, Inc.",70.8,39.5,61.1
MCW,"Mister Car Wash, Inc.",328.9,101.7,30.8
MG,"Mistras Group, Inc.",31.8,17.7,56.3
MITK,"Mitek Systems, Inc.",45.2,43.5,96.7
BEEP,Mobile Infrastructure Corp,41.2,36.6,90.3
MOD,Modine Manufacturing Company,52.7,51.8,98.0
MDV,Modiv Industrial Inc. Class C,10.3,9.5,91.4
MC,Moelis & Co. Class A,74.4,73.6,99.0
MCRI,"Monarch Casino & Resort, Inc.",17.7,11.9,68.4
MNPR,Monopar Therapeutics Inc,6.7,4.3,63.7
MNRO,"Monro, Inc.",30.0,23.7,96.6
MNTK,"Montauk Renewables, Inc.",142.3,43.2,30.1
GLUE,"Monte Rosa Therapeutics, Inc.",84.5,57.2,58.2
MOG.A,Moog Inc. Class A,31.7,27.8,87.8
MPAA,"Motorcar Parts of America, Inc.",19.2,15.0,89.9
MOV,"Movado Group, Inc.",22.1,14.5,66.8
MWA,"Mueller Water Products, Inc. Class A",156.5,154.7,98.3
MUR,Murphy Oil Corporation,143.4,134.9,93.3
MVBF,MVB Financial Corp.,12.8,11.6,90.4
MYE,"Myers Industries, Inc.",37.6,36.8,98.0
MYO,"Myomo, Inc.",38.6,35.5,92.7
MYRG,MYR Group Inc.,15.6,15.3,98.2
MYGN,"Myriad Genetics, Inc.",94.4,88.0,95.2
NABL,"N-able, Inc.",188.4,68.9,35.7
NBR,Nabors Industries Ltd.,14.8,14.1,95.8
NC,"NACCO Industries, Inc. Class A",7.5,3.6,51.9
NNE,Nano Nuclear Energy Inc.,52.1,42.3,68.9
NNOX,NANO-X IMAGING LTD,69.6,69.1,99.5
NSSC,"NAPCO Security Technologies, Inc.",35.7,34.4,95.6
NATH,"Nathan's Famous, Inc.",4.1,2.9,69.9
NBHC,National Bank Holdings Corporation Class A,44.8,42.3,97.9
NKSH,"National Bankshares, Inc.",6.4,6.2,96.8
FIZZ,National Beverage Corp.,93.6,23.7,25.3
NCMI,"National CineMedia, Inc.",93.8,65.1,69.9
NESR,National Energy Services Reunited Corp.,100.8,83.8,85.5
NHI,"National Health Investors, Inc.",48.5,47.3,95.4
NHC,National HealthCare Corporation,15.6,11.6,73.9
NPK,"National Presto Industries, Inc.",7.2,5.2,73.2
EYE,"National Vision Holdings, Inc.",79.4,77.4,97.8
NGS,"Natural Gas Services Group, Inc.",12.6,11.5,86.2
NGVC,"Natural Grocers by Vitamin Cottage, Inc.",23.0,9.6,41.1
NATR,"Nature's Sunshine Products, Inc.",17.6,16.1,91.4
NAVN,"Navan, Inc. Class A",250.8,71.8,25.0
NAVI,Navient Corp,94.0,91.3,97.3
NVGS,Navigator Holdings Ltd.,65.3,36.1,43.4
NVTS,Navitas Semiconductor Corporation,233.7,210.9,82.3
NBBK,"NB Bancorp, Inc.",41.5,36.5,86.6
NBTB,NBT Bancorp Inc.,52.0,50.8,98.0
NATL,NCR Atleos Corporation,73.8,71.9,97.9
VYX,NCR Voyix Corporation,137.8,136.5,99.2
NNI,"Nelnet, Inc. Class A",36.0,16.2,45.2
NEOG,Neogen Corp,217.7,215.8,99.6
NEO,"NeoGenomics, Inc.",130.2,127.9,98.6
NEON,Neonode Inc.,16.8,13.1,77.8
NRDS,"NerdWallet, Inc. Class A",66.8,31.6,51.3
NRDY,"Nerdy, Inc. Class A",124.2,47.3,30.2
NLOP,Net Lease Office Properties,14.8,14.7,99.3
NPWR,NET Power Inc. Class A,84.7,80.7,96.9
NTGR,"NETGEAR, Inc.",26.8,25.4,94.6
NTCT,"NetScout Systems, Inc.",72.2,69.6,#N/A
NTST,NETSTREIT Corp.,97.3,96.1,99.0
NGNE,Neurogene Inc.,15.8,12.5,79.8
STIM,"Neuronetics, Inc.",69.6,25.8,56.3
NPCE,"NeuroPace, Inc.",34.1,25.8,75.2
NFE,New Fortress Energy Inc. Class A,285.6,190.2,66.9
NJR,New Jersey Resources Corporation,100.9,100.3,99.4
NMRK,"Newmark Group, Inc. Class A",177.6,148.3,83.6
NMAX,Newsmax Inc. Class B,129.1,65.8,51.0
NEWT,"NewtekOne, Inc.",28.9,24.9,86.4
NXDT,NexPoint Diversified Real Estate Trust,50.2,42.4,83.5
NREF,"NexPoint Real Estate Finance, Inc.",18.7,16.9,93.5
NXRT,"NexPoint Residential Trust, Inc.",25.5,20.7,82.0
NEXT,NextDecade Corp.,265.0,147.6,54.8
NXDR,"Nextdoor Holdings, Inc. Class A",381.4,223.4,61.2
NN,NextNav Inc.,136.0,77.1,57.3
NXXT,"NextNRG, Inc.",156.7,50.4,32.2
NXT,Nextpower Inc. Class A,148.5,146.4,#N/A
NEXN,Nexxen International Ltd.,55.7,32.6,54.3
NODK,"NI Holdings, Inc.",20.5,6.6,31.7
NAGE,"Niagen Bioscience, Inc.",79.6,52.6,66.0
NIC,"Nicolet Bankshares, Inc.",21.3,19.4,88.1
NB,NioCorp Developments Ltd.,145.3,142.0,93.4
NKTX,"Nkarta, Inc.",71.5,54.2,75.8
NL,"NL Industries, Inc.",48.9,8.3,17.0
LASR,"nLIGHT, Inc.",56.4,52.7,92.6
NMIH,"NMI Holdings, Inc.",76.0,74.3,98.0
NE,Noble Corporation PLC Class A,159.5,127.2,79.0
NAT,Nordic American Tankers Limited,211.8,200.6,100.0
NBN,Northeast Bank,8.0,8.0,100.0
NECB,NorthEast Community Bancorp Inc,13.8,13.3,96.4
NOG,"Northern Oil and Gas, Inc.",105.8,102.5,97.0
NFBK,"Northfield Bancorp, Inc.",41.8,39.8,95.0
NPB,"Northpointe Bancshares, Inc.",34.5,17.7,51.2
NRIM,"Northrim BanCorp, Inc.",22.2,21.6,97.3
NWBI,"Northwest Bancshares, Inc.",146.3,139.2,95.1
NWN,Northwest Natural Holding Co.,42.1,41.6,99.1
NWE,"NorthWestern Energy Group, Inc.",61.5,61.1,99.2
NWFL,Norwood Financial Corp.,10.9,9.9,90.1
*NG,Novagold Resources Inc,438.8,329.8,#N/A
NOVT,Novanta Inc,35.6,35.3,99.1
NVAX,"Novavax, Inc.",164.4,156.3,95.3
NVCR,NovoCure Ltd.,115.8,103.5,90.0
NPKI,NPK International Inc.,84.4,80.2,94.6
NRC,NRC Health,22.5,12.9,51.7
NUS,"Nu Skin Enterprises, Inc. Class A",48.6,47.4,97.6
NRIX,"Nurix Therapeutics, Inc.",103.4,97.3,98.5
SMR,NuScale Power Corporation Class A,323.7,312.8,56.8
NUTX,Nutex Health Inc,6.9,4.7,72.1
NUVL,"Nuvalent, Inc. Class A",79.0,52.1,66.1
NUVB,"Nuvation Bio, Inc. Class A",349.2,245.8,69.9
NVCT,"Nuvectis Pharma, Inc.",26.5,15.5,57.4
NVEC,NVE Corporation,4.8,4.8,98.7
NWPX,NWPX Infrastructure Inc.,9.6,9.3,97.0
OI,O-I Glass Inc,153.3,150.8,97.6
OVLY,Oak Valley Bancorp,8.4,6.9,81.9
OII,"Oceaneering International, Inc.",99.7,98.2,97.8
OCFC,OceanFirst Financial Corp.,57.6,55.5,96.7
OSG,"Octave Specialty Group, Inc.",45.0,42.4,93.6
OCUL,Ocular Therapeutix Inc,219.0,198.0,90.7
OFG,OFG Bancorp,42.3,41.8,98.9
OVBC,Ohio Valley Banc Corp.,4.7,3.7,81.3
OIS,"Oil States International, Inc.",60.2,55.4,92.4
ODC,Oil-Dri Corporation of America,13.4,9.7,72.5
OKLO,Oklo Inc. Class A,174.0,142.6,78.7
OLPX,"Olaplex Holdings, Inc.",672.0,129.2,19.7
ONB,Old National Bancorp,386.4,342.5,88.3
OSBC,"Old Second Bancorp, Inc.",51.4,48.5,94.4
OLMA,"Olema Pharmaceuticals, Inc.",87.3,69.3,78.5
OMDA,"Omada Health, Inc.",59.4,24.6,40.7
OFLX,"Omega Flex, Inc.",10.1,3.5,34.8
OMER,Omeros Corporation,72.0,69.2,96.2
OABI,"OmniAb, Inc.",144.8,118.0,81.5
OMCL,"Omnicell, Inc.",45.5,44.5,97.0
TOI,"Oncology Institute, Inc.",100.0,57.4,70.8
OGS,"ONE Gas, Inc.",62.8,62.1,99.0
OLP,"One Liberty Properties, Inc.",21.8,15.5,71.6
OSPN,OneSpan Inc.,37.1,36.2,97.8
OSW,OneSpaWorld Holdings Ltd.,101.5,97.4,96.1
ONEW,OneWater Marine Inc Class A,16.6,11.3,67.8
ONIT,Onity Group Inc.,8.4,6.8,81.3
ONT,"Onterris, Inc.",36.1,33.0,91.2
OOMA,Ooma Inc,27.5,23.7,87.9
OPBK,OP Bancorp,14.9,11.9,79.5
OPAL,OPAL Fuels Inc. Class A,29.0,16.6,61.2
LPRO,Open Lending Corporation,118.2,102.0,85.9
OPLN,"OPENLANE, Inc.",105.9,104.6,99.0
OPK,"OPKO Health, Inc.",755.1,377.3,50.9
OPRT,Oportun Financial Corp.,45.7,37.7,83.6
OPFI,"OppFi, Inc.",85.4,23.1,29.7
OPRX,OptimizeRx Corporation,18.8,16.4,83.2
OPTU,"Optimum Communications, Inc. Class A",470.4,255.5,54.2
OPCH,Option Care Health Inc,157.0,154.4,98.6
OBT,"Orange County Bancorp, Inc.",13.4,11.2,84.1
OSUR,"OraSure Technologies, Inc.",68.8,64.2,94.3
ORC,"Orchid Island Capital, Inc.",200.7,200.3,99.8
ORGO,"Organogenesis Holdings, Inc. Class A",128.7,55.8,46.5
ORIC,"Oric Pharmaceuticals, Inc.",103.5,60.1,56.7
OBK,"Origin Bancorp, Inc.",30.9,28.2,90.5
ORN,"Orion Group Holdings, Inc.",40.5,38.2,94.2
OEC,Orion S.A.,56.4,54.1,96.6
ORA,"Ormat Technologies, Inc.",61.5,58.2,99.8
ORRF,"Orrstown Financial Services, Inc.",19.6,18.7,94.9
OFIX,"Orthofix Medical, Inc.",40.4,39.2,98.0
KIDS,OrthoPediatrics Corp.,25.7,17.0,66.7
ORKA,"Oruka Therapeutics, Inc.",59.9,50.3,84.7
OSCR,"Oscar Health, Inc. Class A",301.1,239.1,81.2
OSIS,"OSI Systems, Inc.",16.5,15.5,93.9
OTTR,Otter Tail Corporation,42.0,38.2,90.8
OUST,"Ouster, Inc.",63.7,59.1,92.8
POWW,Outdoor Holding Company,117.3,87.8,75.0
OUT,OUTFRONT Media Inc.,176.1,156.8,89.1
OM,"Outset Medical, Inc.",18.5,17.8,95.8
OXM,"Oxford Industries, Inc.",14.9,13.8,92.6
PACB,"Pacific Biosciences of California, Inc.",310.6,280.8,89.7
PCRX,"Pacira Biosciences, Inc.",39.3,37.7,97.7
PACS,"PACS Group, Inc.",158.3,42.4,26.5
PGY,Pagaya Technologies Ltd Class A,82.8,62.7,75.1
PD,"PagerDuty, Inc.",85.0,78.8,92.9
PAGS,PagSeguro Digital Ltd. Class A,291.0,159.7,56.7
PDYN,Palladyne AI Corp.,47.2,34.3,69.4
PLMR,"Palomar Holdings, Inc.",26.5,25.9,97.7
PVLA,"Palvella Therapeutics, Inc.",14.3,10.3,67.8
PAMT,PAMT Corp,20.9,4.8,22.7
PANL,Pangaea Logistics Solutions Ltd.,65.4,34.9,46.1
PZZA,"Papa John's International, Inc.",32.9,32.3,98.7
PARR,Par Pacific Holdings Inc,50.1,48.5,96.9
PAR,PAR Technology Corporation,41.2,40.7,98.6
PKE,Park Aerospace Corp.,19.9,17.3,86.8
PRK,Park National Corporation,18.1,17.7,97.2
PKOH,Park-Ohio Holdings Corp.,14.4,9.6,67.0
PKBK,"Parke Bancorp, Inc.",11.7,9.9,84.5
CASH,"Pathward Financial, Inc.",21.1,20.8,98.6
PAX,Patria Investments Ltd. Class A,161.4,59.1,37.9
PATK,"Patrick Industries, Inc.",32.9,31.5,95.9
PNBK,"Patriot National Bancorp, Inc.",117.1,82.2,69.1
PTEN,"Patterson-UTI Energy, Inc.",379.6,364.0,90.1
PAYO,Payoneer Global Inc.,334.8,253.4,77.1
PSFE,Paysafe Ltd,51.3,22.0,52.5
PAYS,"Paysign, Inc.",55.2,42.7,63.7
PBF,"PBF Energy, Inc. Class A",118.3,96.9,71.1
CNXN,"PC Connection, Inc.",25.2,10.9,36.3
PCB,PCB Bancorp,14.2,10.5,77.6
PDFS,"PDF Solutions, Inc.",39.9,32.1,80.2
BTU,Peabody Energy Corporation,121.8,114.0,93.6
PGC,Peapack-Gladstone Financial Corporation,17.7,15.2,85.2
PEB,Pebblebrook Hotel Trust,113.4,110.5,97.5
MD,"Pediatrix Medical Group, Inc.",82.1,80.6,98.4
PLGO,Pelagos Insurance Capital Limited,#N/A,#N/A,50.4
PTON,"Peloton Interactive, Inc. Class A",425.5,398.6,93.7
PENG,Penguin Solutions Incorporation,50.7,48.5,96.9
PNTG,Pennant Group Inc,34.8,33.0,95.2
PFSI,"PennyMac Financial Services, Inc.",51.9,34.1,64.9
PMT,PennyMac Mortgage Investment Trust,87.2,85.8,98.9
PEBO,Peoples Bancorp Inc.,35.9,34.7,96.6
PEBK,"Peoples Bancorp of North Carolina, Inc.",5.5,4.5,82.2
PFIS,Peoples Financial Services Corp.,10.0,9.2,91.8
PRDO,Perdoceo Education Corporation,62.7,61.0,97.4
PWP,Perella Weinberg Partners Class A,71.0,67.4,94.9
PRM,Perimeter Solutions Inc,163.1,148.2,95.0
PESI,"Perma-Fix Environmental Services, Inc.",18.6,17.2,92.6
PPTA,Perpetua Resources Corp.,125.1,116.3,92.9
PSNL,"Personalis, Inc.",104.7,62.0,59.4
CATX,"Perspective Therapeutics, Inc.",114.0,92.6,81.9
WOOF,"Petco Health & Wellness Company, Inc. Class A",284.4,143.8,49.3
PHAT,"Phathom Pharmaceuticals, Inc.",79.8,50.0,57.3
PAHC,Phibro Animal Health Corporation Class A,40.2,20.4,49.9
PECO,"Phillips Edison & Company, Inc.",126.0,125.3,99.4
PHIN,PHINIA Inc.,37.0,36.2,97.8
PXED,"Phoenix Education Partners, Inc.",35.8,5.1,#N/A
PLAB,"Photronics, Inc.",59.0,56.6,95.8
PHR,"Phreesia, Inc.",60.8,46.1,90.6
PDM,Piedmont Realty Trust Inc Class A,125.0,123.5,99.0
PBFS,"Pioneer Bancorp, Inc.",25.1,10.3,41.1
