cusip,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,error
46139W783,,ETF,,,,,,,
72201A103,,CEF,,,,,,,
464287499,,ETF,,,,,,,
464287309,,ETF,,,,,,,
464287408,,ETF,,,,,,,
808524854,,ETF,,,,,,,
46436E510,,ETF,,,,,,,
64124P101,,CEF,,,,,,,
464287465,,ETF,,,,,,,
413216950,No data found,,,,,,,,
210322509,,ETF,,,,,,,
415858909,No data found,,,,,,,,
422704906,No data found,,,,,,,,
69374H519,,ETF,,,,,,,
418056957,No data found,,,,,,,,
421906908,No data found,,,,,,,,
500767694,,ETF,,,,,,,
42226K955,No data found,,,,,,,,
316092386,,ETF,,,,,,,
01609W902,No data found,,,,,,,,
422704956,No data found,,,,,,,,
42328V906,No data found,,,,,,,,
09251A104,,CEF,,,,,,,
43114Q955,No data found,,,,,,,,
09255E102,,CEF,,,,,,,
0LX266563,No data found,,,,,,,,
09256A109,,CEF,,,,,,,
0LX256010,No data found,,,,,,,,
46137V399,,ETF,,,,,,,
0LX270253,No data found,,,,,,,,
46138E180,,ETF,,,,,,,
0LX267472,No data found,,,,,,,,
0LX266950,No data found,,,,,,,,
72201R593,,ETF,,,,,,,
0LX259077,No data found,,,,,,,,
756568101,No data found,,,,,,,,
500767906,No data found,,,,,,,,
18469P118,No data found,,,,,,,,
26923N538,,ETF,,,,,,,
09257A108,,CEF,,,,,,,
0LX250339,No data found,,,,,,,,
04010E909,No data found,,,,,,,,
983793950,No data found,,,,,,,,
0LX213750,No data found,,,,,,,,
0LX264656,No data found,,,,,,,,
0LX225393,No data found,,,,,,,,
169656905,No data found,,,,,,,,
423452901,No data found,,,,,,,,
42328V956,No data found,,,,,,,,
81762P902,No data found,,,,,,,,
0LX229704,No data found,,,,,,,,
423452951,No data found,,,,,,,,
427746902,No data found,,,,,,,,
42981E901,No data found,,,,,,,,
427096958,No data found,,,,,,,,
42981E951,No data found,,,,,,,,
431284908,No data found,,,,,,,,
433313903,No data found,,,,,,,,
431284958,No data found,,,,,,,,
433313953,No data found,,,,,,,,
43538H903,No data found,,,,,,,,
146869902,No data found,,,,,,,,
440452950,No data found,,,,,,,,
44107P904,No data found,,,,,,,,
595112903,No data found,,,,,,,,
0LX258643,No data found,,,,,,,,
0LX185454,No data found,,,,,,,,
26922A628,,ETF,,,,,,,
0LX267384,No data found,,,,,,,,
46138E347,,ETF,,,,,,,
0LX233975,No data found,,,,,,,,
0LX247752,No data found,,,,,,,,
0LX257812,No data found,,,,,,,,
210322400,,ETF,,,,,,,
0LX267357,No data found,,,,,,,,
72201C109,,CEF,,,,,,,
0LX209314,No data found,,,,,,,,
26922B865,,ETF,,,,,,,
19247X100,,CEF,,,,,,,
12504G100,,CEF,,,,,,,
092508100,,CEF,,,,,,,
0LX203902,No data found,,,,,,,,
800212201,No data found,,,,,,,,
0LX259061,No data found,,,,,,,,
45773H909,No data found,,,,,,,,
450913908,No data found,,,,,,,,
44107P954,No data found,,,,,,,,
46092D384,,ETF,,,,,,,
443201958,No data found,,,,,,,,
0LX195492,No data found,,,,,,,,
444097906,No data found,,,,,,,,
444097956,No data found,,,,,,,,
0LX194777,No data found,,,,,,,,
446413906,No data found,,,,,,,,
443201908,No data found,,,,,,,,
0LX257819,No data found,,,,,,,,
449109957,No data found,,,,,,,,
44975P903,No data found,,,,,,,,
0LX257484,No data found,,,,,,,,
446413956,No data found,,,,,,,,
447011957,No data found,,,,,,,,
44975P953,No data found,,,,,,,,
450913958,No data found,,,,,,,,
45254E907,No data found,,,,,,,,
45254E957,No data found,,,,,,,,
45782T905,No data found,,,,,,,,
45782T955,No data found,,,,,,,,
46092D906,No data found,,,,,,,,
19247R103,,CEF,,,,,,,
46092D955,No data found,,,,,,,,
45773H959,No data found,,,,,,,,
461147950,No data found,,,,,,,,
46137V900,No data found,,,,,,,,
44812J904,No data found,,,,,,,,
46092D905,No data found,,,,,,,,
44812J954,No data found,,,,,,,,
46138G907,No data found,,,,,,,,
128117108,,CEF,,,,,,,
46138G901,No data found,,,,,,,,
46140H903,No data found,,,,,,,,
46143U908,No data found,,,,,,,,
46143U904,No data found,,,,,,,,
46143U902,No data found,,,,,,,,
46143U952,No data found,,,,,,,,
46138K953,No data found,,,,,,,,
46140H906,No data found,,,,,,,,
46141D903,No data found,,,,,,,,
0LX205231,No data found,,,,,,,,
0LX267024,No data found,,,,,,,,
0LX192468,No data found,,,,,,,,
0LX263493,No data found,,,,,,,,
27829G106,,CEF,,,,,,,
258622109,,CEF,,,,,,,
46578C958,No data found,,,,,,,,
0LX225276,No data found,,,,,,,,
0LX248297,No data found,,,,,,,,
0LX219896,No data found,,,,,,,,
0LX195131,No data found,,,,,,,,
464288903,No data found,,,,,,,,
82674R103,No data found,,,,,,,,
0LX168620,No data found,,,,,,,,
830561205,No data found,,,,,,,,
0LX267663,No data found,,,,,,,,
0LX259156,No data found,,,,,,,,
0LX209950,No data found,,,,,,,,
0LX269850,No data found,,,,,,,,
46625H950,No data found,,,,,,,,
82929R304,No data found,,,,,,,,
0LX255863,No data found,,,,,,,,
81721M208,,ETD,,,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading
46578C908,No data found,,,,,,,,
81721M307,,ETD,,,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading
46152A958,No data found,,,,,,,,
464287952,No data found,,,,,,,,
46152A908,No data found,,,,,,,,
0LX224734,No data found,,,,,,,,
46152A906,No data found,,,,,,,,
46152A954,No data found,,,,,,,,
46152A904,No data found,,,,,,,,
464285904,No data found,,,,,,,,
464285954,No data found,,,,,,,,
0LX190374,No data found,,,,,,,,
00CASHUSD,No data found,,,,,,,,
00CASHHKD,No data found,,,,,,,,
00CASHHUF,No data found,,,,,,,,
46432F956,No data found,,,,,,,,
00CASHNOK,No data found,,,,,,,,
00CASHZAR,No data found,,,,,,,,
46152A959,No data found,,,,,,,,
46435G906,No data found,,,,,,,,
46438G950,No data found,,,,,,,,
07355VAL1,No data found,,,,,,,,
00CASHGBP,No data found,,,,,,,,
46990A902,No data found,,,,,,,,
00CASHEUR,No data found,,,,,,,,
47737C954,No data found,,,,,,,,
47973J952,No data found,,,,,,,,
48020Q907,No data found,,,,,,,,
48208F903,No data found,,,,,,,,
48208F953,No data found,,,,,,,,
48242W956,No data found,,,,,,,,
46990A952,No data found,,,,,,,,
485924904,No data found,,,,,,,,
485924954,No data found,,,,,,,,
47737C904,No data found,,,,,,,,
49271V950,No data found,,,,,,,,
493267958,No data found,,,,,,,,
49338L903,No data found,,,,,,,,
00CASHILS,No data found,,,,,,,,
00CASHMXN,No data found,,,,,,,,
00CASHKRW,No data found,,,,,,,,
00CASHAED,No data found,,,,,,,,
00900UAG9,No data found,,,,,,,,
00140PAJ4,No data found,,,,,,,,
512807906,No data found,,,,,,,,
517097901,No data found,,,,,,,,
00CASHJPY,No data found,,,,,,,,
29003GAE0,No data found,,,,,,,,
00CASHTWD,No data found,,,,,,,,
539830909,No data found,,,,,,,,
29002NAE6,No data found,,,,,,,,
50012A908,No data found,,,,,,,,
500767903,No data found,,,,,,,,
50012A958,No data found,,,,,,,,
500946908,No data found,,,,,,,,
868861105,No data found,,,,,,,,
50187T956,No data found,,,,,,,,
501976904,No data found,,,,,,,,
49372L909,No data found,,,,,,,,
502431909,No data found,,,,,,,,
502431959,No data found,,,,,,,,
514766954,No data found,,,,,,,,
514952950,No data found,,,,,,,,
516544903,No data found,,,,,,,,
