cusip,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,error
54352F107,Domestic Common Stock,Communication Services,Broadcasting,7363,Services,Services-Help Supply Services,,Business Services,
61531M101,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
61531M119,Domestic Common Stock Warrant,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
61531M200,Domestic Common Stock Secondary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
G8601L110,Domestic Common Stock Secondary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
63947U107,Domestic Common Stock,Technology,Software - Application,7372,Services,Services-Prepackaged Software,,Business Services,
65101L112,Domestic Common Stock Warrant,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
651448110,Domestic Common Stock Warrant,Industrials,Security & Protection Services,3577,Manufacturing,Computer Peripheral Equipment Nec,,Computers,
65344G102,Domestic Common Stock,Technology,Software - Infrastructure,4700,Transportation Communications Electric Gas And Sanitary Service,Transportation Services,,Transportation,
66516W107,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
624697306,ADR Common Stock,Communication Services,Advertising Agencies,7370,Services,Services-Computer Programming Data Processing Etc.,,Business Services,
68829A103,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
69242M112,Domestic Common Stock Warrant,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
70470F100,Canadian Common Stock,Technology,Software - Application,7372,Services,Services-Prepackaged Software,,Business Services,
74275N110,Domestic Common Stock Warrant,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,
743497117,Domestic Common Stock Warrant,Real Estate,Real Estate Services,6531,Finance Insurance And Real Estate,Real Estate Agents & Managers (For Others),,Real Estate,
74915J107,ADR Common Stock,Communication Services,Internet Content & Information,7370,Services,Services-Computer Programming Data Processing Etc.,,Business Services,
756229209,Domestic Common Stock Secondary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
76155Y116,Domestic Common Stock Warrant,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
74052F108,Domestic Common Stock,Financial Services,Banks - Regional,6035,Finance Insurance And Real Estate,Savings Institution Federally Chartered,,Banking,
74327P113,Domestic Common Stock Warrant,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
74327P105,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
81723H108,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
81786A107,Domestic Common Stock Primary Class,Technology,Software - Application,7372,Services,Services-Prepackaged Software,,Business Services,
83548F101,Domestic Common Stock,Technology,Communication Equipment,3661,Manufacturing,Telephone & Telegraph Apparatus,,Electronic Equipment,
72815G116,Domestic Common Stock Warrant,Communication Services,Electronic Gaming & Multimedia,7372,Services,Services-Prepackaged Software,,Business Services,
849196209,Domestic Common Stock Secondary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
86309R115,Domestic Common Stock Warrant,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
